,X,Y,Z,X_r,Y_r,Z_r,surface,series,id,order_series,smooth
224,218.320404,88.0,-156.0,0.5871100426567977,0.36100123109570226,0.46390371047548196,0,Default series,1,1,2e-06
225,187.951675,353.182526,-144.017,0.5489925101823194,0.6938470194877407,0.47894426062961165,0,Default series,1,1,2e-06
226,210.0,86.0,-114.464,0.576666626678777,0.35849091645761,0.5160379248793817,0,Default series,1,1,2e-06
227,163.959518,153.281937,-124.014,0.5188785787240657,0.44294033212276007,0.5040511724824912,0,Default series,1,1,2e-06
228,137.94534299999998,89.74114200000001,-124.35700000000001,0.4862266965738691,0.36318663822050085,0.5036206535220584,0,Default series,1,1,2e-06
229,132.137619,293.12951699999996,-115.929,0.4789370892882693,0.618471045710648,0.5141991194069792,0,Default series,1,1,2e-06
230,184.55441299999998,107.97040600000001,-110.00200000000001,0.5447284119183021,0.3860672323509248,0.5216384368369654,0,Default series,1,1,2e-06
232,111.97107700000001,391.863007,-143.342,0.4536249064971183,0.7423971083191152,0.4797914918199678,0,Default series,1,1,2e-06
233,189.38324,65.998688,-108.0,0.5507893494697597,0.33338612331028494,0.5241512617896958,0,Default series,1,1,2e-06
235,29.961353000000003,5.155962000000001,-134.014,0.3506898011855659,0.25701893046066715,0.49149959929202997,0,Default series,1,1,2e-06
236,109.930199,33.669391999999995,-148.433,0.45106328353813807,0.2928077708162764,0.47340148590870396,0,Default series,1,1,2e-06
238,219.98564100000002,367.93197599999996,-152.727,0.589200177065294,0.7123598996071455,0.4680118403807199,0,Default series,1,1,2e-06
239,13.991489999999999,39.959697999999996,-167.417,0.330645110756952,0.3007030944312162,0.4495735793639324,0,Default series,1,1,2e-06
240,101.945877,15.743645,-104.456,0.4410417033422171,0.2703081382698574,0.5285995393283953,0,Default series,1,1,2e-06
241,282.0,8.0,-153.586,0.6670379536500978,0.26058864557201245,0.4669336602436593,0,Default series,1,1,2e-06
242,115.931381,49.108973999999996,-144.024,0.45859571104836594,0.31218687516658916,0.4789354745283783,0,Default series,1,1,2e-06
243,159.988098,21.943632,-155.196,0.5138938218440596,0.2780900973308982,0.46491285695999507,0,Default series,1,1,2e-06
244,295.636505,182.0,-104.0,0.6841539127070568,0.47898601908603766,0.5291718910658803,0,Default series,1,1,2e-06
246,188.0,24.0,-158.868,0.5490531656597624,0.2806711626767504,0.4603039192844577,0,Default series,1,1,2e-06
247,61.941295999999994,79.721954,-135.361,0.39082966070469366,0.35061098107140176,0.4898089023832749,0,Default series,1,1,2e-06
248,60.360538,53.724003,-154.02,0.38884556073135296,0.3179794625935493,0.4663889219671933,0,Default series,1,1,2e-06
249,1.998346,55.700386,-118.001,0.31559182828697796,0.32046013418123764,0.5115984334419156,0,Default series,1,1,2e-06
250,121.953255,1.7785919999999997,-160.77100000000002,0.46615411027383946,0.25277979978604037,0.4579153549063129,0,Default series,1,1,2e-06
251,232.0,102.0,-130.249,0.6042800876977916,0.3785734335623479,0.4962252665982387,0,Default series,1,1,2e-06
252,183.999344,42.458382,-156.0,0.5440317130003766,0.3038393359417996,0.46390371047548196,0,Default series,1,1,2e-06
254,259.441681,116.0,-110.0,0.6387237144518706,0.39614563602899366,0.5216409471516036,0,Default series,1,1,2e-06
255,292.0,123.23111000000002,-116.0,0.679589526840559,0.40522181667032126,0.5141100032373268,0,Default series,1,1,2e-06
258,-0.000131,55.999378,-173.792,0.3130834252534826,0.32083541617837386,0.4415719514550134,0,Default series,1,1,2e-06
259,206.0,47.161228,-94.0,0.5716459974025925,0.3097421475190464,0.5417234642563415,0,Default series,1,1,2e-06
260,73.9683,241.84986899999998,-118.96,0.4059254428014907,0.5541070202053393,0.5103947375729503,0,Default series,1,1,2e-06
261,244.0,225.82945299999997,-154.0,0.6193419755263452,0.5339988778087756,0.4664140251135742,0,Default series,1,1,2e-06
262,3.756375,398.0,-120.0,0.3177984312534233,0.7501,0.5090893739611424,0,Default series,1,1,2e-06
264,39.982452,107.91688500000001,-163.79,0.3632678569403016,0.3860000550760522,0.45412603496011267,0,Default series,1,1,2e-06
265,246.66752599999998,40.0,-100.0,0.622690140308991,0.30075367978148837,0.5341925203420648,0,Default series,1,1,2e-06
266,210.0,74.0,-109.24700000000001,0.576666626678777,0.34342902862905655,0.5225860806128453,0,Default series,1,1,2e-06
267,249.19689900000003,113.99999199999999,-152.0,0.6258649013425386,0.3936353113496428,0.4689243397516665,0,Default series,1,1,2e-06
270,296.0,118.765732,-114.0,0.6846101561167435,0.3996170647913137,0.5166203178754191,0,Default series,1,1,2e-06
271,53.95389599999999,53.781639,-163.202,0.38080421713454465,0.3180518048407898,0.4548640674637118,0,Default series,1,1,2e-06
274,246.0,56.0,-105.80799999999999,0.6218522901644373,0.32083619688622633,0.5269025666330449,0,Default series,1,1,2e-06
277,48.85228,15.721032000000001,-136.02100000000002,0.3744008864731819,0.2702797553974018,0.4889804985527044,0,Default series,1,1,2e-06
278,117.925652,90.678574,-138.026,0.46109883489017733,0.36436326285640885,0.48646390812801693,0,Default series,1,1,2e-06
280,259.67776499999997,74.0,-146.0,0.6390200370123802,0.34342902862905655,0.4764552836659432,0,Default series,1,1,2e-06
281,39.969143,51.853848,-165.014,0.36325115205154246,0.3156321238575486,0.4525897224016002,0,Default series,1,1,2e-06
282,179.99752800000002,51.243004,-156.001,0.5390088043585006,0.31486541854015315,0.46390245531816293,0,Default series,1,1,2e-06
283,89.945808,23.743323999999998,-100.21,0.4259797289078086,0.28034899391672696,0.5339289373050651,0,Default series,1,1,2e-06
284,58.30298199999999,75.760727,-154.018,0.3862630042586057,0.3456390180099487,0.4663914322818314,0,Default series,1,1,2e-06
285,227.61402900000002,90.0,-110.0,0.5987750040960177,0.36351154573379446,0.5216409471516036,0,Default series,1,1,2e-06
286,68.99176,31.648193,-140.026,0.3996791021969649,0.2902708480981777,0.4839535934899247,0,Default series,1,1,2e-06
287,274.0,82.727173,-140.0,0.6569966950977288,0.3543830036945882,0.4839862275802199,0,Default series,1,1,2e-06
288,196.0,24.409357,-134.0,0.5590944242121313,0.2811849701114032,0.49151717149449664,0,Default series,1,1,2e-06
289,178.66989099999998,113.93234299999999,-136.005,0.5373424110609142,0.39355040121216667,0.48900058106980915,0,Default series,1,1,2e-06
290,55.961696999999994,122.073128,-118.01299999999999,0.3833243232548828,0.4037683670876976,0.511583371554087,0,Default series,1,1,2e-06
291,116.92391200000002,159.67463700000002,-154.024,0.4598414935973961,0.4509641763162262,0.4663839013379171,0,Default series,1,1,2e-06
